ESTADO ACTUAL DEL IMPERIO:
Adaptadores | Jujuy: 11 | Cba: 8
Auriculares Bluetooth con clip intrauditivo Monaural estéreo | Jujuy: 6 | Cba: 4
Cable de carga rápida USB a tipo-C giratorio 180° | Jujuy: 3 | Cba: 2
Cable de carga rápida USB tipo C a tipo-C giratorio 180° | Jujuy: 6 | Cba: 4
Combo cable usb + adaptador usb | Jujuy: 4 | Cba: 0
Filtro de café | Jujuy: 6 | Cba: 4
Juego de termo con 3 tazas de acero inoxidable | Jujuy: 12 | Cba: 6
Luz de noche | Jujuy: 3 | Cba: 2
Perfume | Jujuy: 28 | Cba: 0
Powerbank portátil 2 interfaces de salida | Jujuy: 3 | Cba: 4
Tarjeta de bloqueo RFID/NFC | Jujuy: 38 | Cba: 5
Taza calentadora eléctrica  | Jujuy: 3 | Cba: 3
Taza calentadora eléctrica  | Jujuy: 2 | Cba: 0
